,Pattern_ID,Date_Time_1_c,Close_1_c,lag_1_c,Date_Time_2_c,Close_2_c,lag_2_c,Date_Time_3_c,Close_3_c,lag_3_c,Date_Time_1_m,Close_1_m,Lag_1_m,Date_Time_2_m,Close_2_m,Lag_2_m,Date_Time_3_m,Close_3_m,Lag_3_m,Date_Time_1_sv,Close_1_sv,Lag_1_sv,Date_Time_2_sv,Close_2_sv,Lag_2_sv
0,-324,2021-02-04 10:35:00,135.46499633789062,0.1642913818359375,2021-02-04 10:36:00,135.2899932861328,-0.1750030517578125,2021-02-04 10:37:00,135.47999572753906,0.19000244140625,2021-02-02 09:51:00,135.26150512695312,0.1614990234375,2021-02-02 09:52:00,135.07009887695312,-0.19140625,2021-02-02 09:53:00,135.27000427246094,0.1999053955078125,2021-02-04 10:38:00,135.460693359375,-0.0193023681640625,2021-02-02 09:54:00,135.27999877929688,0.0099945068359375
1,-511,2021-02-03 13:58:00,134.9700927734375,-0.0199127197265625,2021-02-03 13:59:00,134.99330139160156,0.0232086181640625,2021-02-03 14:00:00,135.05999755859375,0.0666961669921875,2021-01-11 15:00:00,129.28909301757812,-0.020904541015625,2021-01-11 15:01:00,129.30999755859375,0.020904541015625,2021-01-11 15:02:00,129.3800048828125,0.07000732421875,2021-02-03 14:01:00,135.02000427246094,-0.0399932861328125,2021-01-11 15:03:00,129.33999633789062,-0.040008544921875
2,-776,2021-02-03 09:33:00,134.92999267578125,0.1299896240234375,2021-02-03 09:34:00,134.97000122070312,0.040008544921875,2021-02-03 09:35:00,134.8800048828125,-0.089996337890625,2021-01-26 10:21:00,142.2899932861328,0.12078857421875,2021-01-26 10:22:00,142.32989501953125,0.0399017333984375,2021-01-26 10:23:00,142.24000549316406,-0.0898895263671875,2021-02-03 09:36:00,134.55999755859375,-0.32000732421875,2021-01-26 10:24:00,142.11500549316406,-0.125
3,-1096,2021-02-02 10:43:00,135.1300048828125,-0.0399932861328125,2021-02-02 10:44:00,135.1999969482422,0.0699920654296875,2021-02-02 10:45:00,135.11500549316406,-0.084991455078125,2021-01-28 14:33:00,139.71009826660156,-0.0399017333984375,2021-01-28 14:34:00,139.781494140625,0.0713958740234375,2021-01-28 14:35:00,139.6999969482422,-0.0814971923828125,2021-02-02 10:46:00,135.27969360351562,0.1646881103515625,2021-01-28 14:36:00,139.42999267578125,-0.2700042724609375
4,-1402,2021-02-01 12:07:00,134.41000366210938,0.05999755859375,2021-02-01 12:08:00,134.44729614257812,0.03729248046875,2021-02-01 12:09:00,134.5,0.052703857421875,2021-01-21 15:42:00,137.0500030517578,0.05999755859375,2021-01-21 15:43:00,137.0850067138672,0.035003662109375,2021-01-21 15:44:00,137.13470458984375,0.0496978759765625,2021-02-01 12:10:00,134.5937042236328,0.0937042236328125,2021-01-21 15:45:00,137.15679931640625,0.0220947265625
5,-1742,2021-01-28 12:57:00,140.69000244140625,-0.220001220703125,2021-01-28 12:58:00,140.8199005126953,0.1298980712890625,2021-01-28 12:59:00,140.6999969482422,-0.119903564453125,2021-02-04 09:56:00,135.1999969482422,-0.2400054931640625,2021-02-04 09:57:00,135.33999633789062,0.1399993896484375,2021-02-04 09:58:00,135.2299041748047,-0.1100921630859375,2021-01-28 13:00:00,140.82989501953125,0.1298980712890625,2021-02-04 09:59:00,135.27999877929688,0.0500946044921875
6,-2096,2021-01-27 13:33:00,143.1885986328125,-0.0615081787109375,2021-01-27 13:34:00,143.25,0.0614013671875,2021-01-27 13:35:00,143.25,0.0,2021-02-01 13:43:00,134.49989318847656,-0.060211181640625,2021-02-01 13:44:00,134.55999755859375,0.0601043701171875,2021-02-01 13:45:00,134.55499267578125,-0.0050048828125,2021-01-27 13:36:00,143.15069580078125,-0.09930419921875,2021-02-01 13:46:00,134.37379455566406,-0.1811981201171875
7,-2374,2021-01-26 15:25:00,142.9658966064453,0.0059967041015625,2021-01-26 15:26:00,142.98060607910156,0.01470947265625,2021-01-26 15:27:00,142.9499969482422,-0.030609130859375,2021-01-26 12:31:00,142.36590576171875,0.0059051513671875,2021-01-26 12:32:00,142.3800048828125,0.01409912109375,2021-01-26 12:33:00,142.35000610351562,-0.029998779296875,2021-01-26 15:28:00,143.0449981689453,0.095001220703125,2021-01-26 12:34:00,142.34080505371094,-0.0092010498046875
8,-2670,2021-01-26 10:29:00,142.21209716796875,-0.0216064453125,2021-01-26 10:30:00,142.10000610351562,-0.112091064453125,2021-01-26 10:31:00,142.11000061035156,0.0099945068359375,2021-01-26 14:35:00,143.0399932861328,-0.0196990966796875,2021-01-26 14:36:00,142.9375,-0.1024932861328125,2021-01-26 14:37:00,142.94740295410156,0.0099029541015625,2021-01-26 10:32:00,142.02000427246094,-0.089996337890625,2021-01-26 14:38:00,142.9550018310547,0.007598876953125
9,-3066,2021-01-25 10:23:00,144.38490295410156,-0.0386962890625,2021-01-25 10:24:00,144.4600067138672,0.075103759765625,2021-01-25 10:25:00,144.368896484375,-0.0911102294921875,2021-02-02 10:43:00,135.1300048828125,-0.0399932861328125,2021-02-02 10:44:00,135.1999969482422,0.0699920654296875,2021-02-02 10:45:00,135.11500549316406,-0.084991455078125,2021-01-25 10:26:00,144.2449951171875,-0.1239013671875,2021-02-02 10:46:00,135.27969360351562,0.1646881103515625
