,Pattern_ID,p_count
0,-4151,252
1,-4152,210
2,-3173,140
3,-3174,113
4,-351,41
5,-2096,36
6,-3272,35
7,-3709,34
8,-233,33
9,-3267,33
10,-3810,32
11,-5369,32
12,-197,32
13,-350,32
14,-2759,31
15,-3381,31
16,-2921,31
17,-718,30
18,-3708,30
19,-2368,30
20,-1751,29
21,-3298,29
22,-653,29
23,-5761,29
24,-5525,29
25,-2552,28
26,-3073,28
27,-4704,28
28,-523,27
29,-2758,27
30,-3297,27
31,-198,26
32,-1606,26
33,-201,26
34,-1039,26
35,-4503,26
36,-480,25
37,-4590,25
38,-199,25
39,-200,25
40,-5527,25
41,-2095,25
42,-479,24
43,-4555,24
44,-3194,24
45,-2551,24
46,-5793,24
47,-3271,24
48,-3380,24
49,-4589,24
50,-3816,24
51,-4547,23
52,-2481,23
53,-3722,23
54,-2770,23
55,-652,23
56,-4497,22
57,-733,22
58,-2581,22
59,-5792,21
60,-3201,21
61,-2369,21
62,-4576,21
63,-4502,20
64,-487,20
65,-5323,20
66,-628,20
67,-5288,20
68,-3921,20
69,-3202,20
70,-499,19
71,-3811,19
72,-629,19
73,-3273,19
74,-717,19
75,-3157,19
76,-3815,19
77,-2480,18
78,-4165,18
79,-524,18
80,-5526,18
81,-3296,18
82,-1038,18
83,-3938,17
84,-3916,17
85,-640,17
86,-627,17
87,-2193,17
88,-305,17
89,-5411,16
90,-7,16
91,-4119,16
92,-3074,16
93,-3269,16
94,-3200,15
95,-2370,15
96,-4354,15
97,-2062,15
98,-3172,15
99,-4546,15
100,-3158,15
101,-731,15
102,-3993,15
103,-5092,15
104,-1944,15
105,-3707,14
106,-3382,14
107,-4163,14
108,-4164,14
109,-196,14
110,-500,14
111,-2479,14
112,-5287,13
113,-2194,13
114,-2920,13
115,-5277,13
116,-665,13
117,-2768,13
118,-3915,13
119,-3817,13
120,-5324,13
121,-4554,13
122,-4744,12
123,-719,12
124,-5791,12
125,-498,12
126,-4553,12
127,-4575,11
128,-5759,11
129,-3156,11
130,-4702,11
131,-4425,11
132,-4591,11
133,-2061,11
134,-5276,11
135,-4803,10
136,-4501,10
137,-2769,10
138,-3818,10
139,-5370,10
140,-2737,10
141,-8,10
142,-2094,10
143,-5202,10
144,-4356,10
145,-4011,10
146,-235,9
147,-3195,9
148,-3196,9
149,-1943,9
150,-4805,9
151,-3920,9
152,-651,9
153,-234,9
154,-565,9
155,-4012,9
156,-4355,9
157,-3936,9
158,-4424,9
159,-3820,9
160,-4498,9
161,-4566,9
162,-4118,9
163,-2063,9
164,-3268,9
165,-732,8
166,-352,8
167,-3711,8
168,-306,8
169,-4574,8
170,-2476,8
171,-3175,8
172,-664,8
173,-3768,8
174,-3721,8
175,-5412,8
176,-1129,7
177,-1188,7
178,-525,7
179,-4188,7
180,-600,7
181,-2662,7
182,-3937,7
183,-1148,7
184,-4931,7
185,-5238,7
186,-229,7
187,-710,7
188,-478,7
189,-5760,7
190,-5093,7
191,-1434,7
192,-486,7
193,-3799,7
194,-3088,7
195,-3361,6
196,-4240,6
197,-189,6
198,-3727,6
199,-4512,6
200,-4810,6
201,-2082,6
202,-485,6
203,-1605,6
204,-1637,6
205,-1362,6
206,-1924,6
207,-5400,6
208,-1264,6
209,-4328,6
210,-4125,6
211,-5743,6
212,-3537,6
213,-1390,6
214,-4743,6
215,-1583,6
216,-5027,6
217,-1141,6
218,-5682,6
219,-4703,6
220,-4266,6
221,-536,6
222,-4120,6
223,-5371,6
224,-4989,6
225,-1099,6
226,-4225,6
227,-1417,6
228,-1691,6
229,-5080,6
230,-1014,6
231,-1809,6
232,-5493,6
233,-64,6
234,-5401,6
235,-1070,6
236,-1157,6
237,-5646,6
238,-5094,6
239,-2614,6
240,-1004,6
241,-2580,6
242,-4038,6
243,-4086,6
244,-2600,5
245,-2467,5
246,-5337,5
247,-5317,5
248,-539,5
249,-3756,5
250,-5825,5
251,-1763,5
252,-3513,5
253,-5233,5
254,-3048,5
255,-4327,5
256,-5577,5
257,-5585,5
258,-1861,5
259,-1074,5
260,-1295,5
261,-3396,5
262,-5569,5
263,-324,5
264,-3332,5
265,-3137,5
266,-231,5
267,-191,5
268,-1445,5
269,-5815,5
270,-5529,5
271,-1359,5
272,-2667,5
273,-3608,5
274,-1995,5
275,-108,5
276,-5404,5
277,-4202,5
278,-3792,5
279,-4173,5
280,-2569,5
281,-2141,5
282,-3589,5
283,-4913,5
284,-535,5
285,-4757,5
286,-4690,5
287,-2449,5
288,-4484,5
289,-2760,5
290,-682,5
291,-3712,5
292,-5009,5
293,-5081,5
294,-4314,5
295,-2254,5
296,-2177,5
297,-1370,5
298,-4063,5
299,-4204,5
300,-2142,5
301,-4705,5
302,-2105,5
303,-1210,5
304,-2617,5
305,-2746,5
306,-4878,5
307,-1197,5
308,-1222,5
309,-4671,5
310,-5008,5
311,-1400,5
312,-726,5
313,-4432,5
314,-5486,5
315,-3431,5
316,-5351,5
317,-5462,5
318,-2797,5
319,-2687,5
320,-5187,5
321,-2829,5
322,-4583,5
323,-5203,5
324,-4654,5
325,-4499,5
326,-5586,5
327,-2738,5
328,-5275,5
329,-2477,5
330,-1852,5
331,-4751,5
332,-4395,5
333,-1232,5
334,-2613,5
335,-2757,5
336,-5086,5
337,-4033,5
338,-1985,5
339,-3235,5
340,-2846,5
341,-3259,5
342,-789,5
343,-1922,5
344,-104,5
345,-630,5
346,-2263,5
347,-4262,5
348,-3323,5
349,-5582,5
350,-488,5
351,-2871,4
352,-2568,4
353,-4950,4
354,-188,4
355,-4865,4
356,-5267,4
357,-5762,4
358,-2796,4
359,-5001,4
360,-5098,4
361,-2772,4
362,-2083,4
363,-598,4
364,-274,4
365,-415,4
366,-5283,4
367,-5778,4
368,-2678,4
369,-5634,4
370,-407,4
371,-4241,4
372,-2417,4
373,-4829,4
374,-4844,4
375,-823,4
376,-538,4
377,-4242,4
378,-28,4
379,-2126,4
380,-599,4
381,-4971,4
382,-2195,4
383,-688,4
384,-2834,4
385,-5099,4
386,-4873,4
387,-3099,4
388,-2821,4
389,-711,4
390,-1073,4
391,-3075,4
392,-4548,4
393,-1358,4
394,-178,4
395,-5402,4
396,-3594,4
397,-5643,4
398,-1585,4
399,-1487,4
400,-300,4
401,-5683,4
402,-1092,4
403,-1013,4
404,-3724,4
405,-3228,4
406,-1646,4
407,-232,4
408,-3355,4
409,-5729,4
410,-5579,4
411,-990,4
412,-5087,4
413,-3786,4
414,-3813,4
415,-2363,4
416,-5354,4
417,-3328,4
418,-3336,4
419,-4482,4
420,-1140,4
421,-1435,4
422,-4150,4
423,-3757,4
424,-5587,4
425,-1372,4
426,-1607,4
427,-5491,4
428,-508,4
429,-3253,4
430,-2503,4
431,-2904,4
432,-3123,4
433,-1019,4
434,-1076,4
435,-3076,4
436,-1361,4
437,-1894,4
438,-10,4
439,-4076,4
440,-4044,4
441,-1614,4
442,-1803,4
443,-991,4
444,-376,4
445,-2750,4
446,-5127,4
447,-1859,4
448,-1862,4
449,-3909,4
450,-320,4
451,-1404,4
452,-5523,4
453,-3164,4
454,-3482,4
455,-4562,4
456,-432,4
457,-1347,4
458,-3771,4
459,-5748,4
460,-2365,4
461,-4874,4
462,-1402,4
463,-2010,4
464,-2827,4
465,-1072,4
466,-3710,4
467,-1664,4
468,-1682,4
469,-507,4
470,-1040,4
471,-4651,4
472,-964,4
473,-230,4
474,-5583,4
475,-6,4
476,-4451,4
477,-5524,4
478,-1613,4
479,-4181,4
480,-1760,4
481,-1144,4
