,Pattern_ID,p_count
0,-4151,7
1,-4152,5
2,-3921,4
3,-798,3
4,-3273,3
5,-3296,3
6,-3739,3
7,-3173,3
8,-4744,3
9,-4363,3
10,-4553,3
11,-3938,3
12,-4466,3
13,-1684,3
14,-1096,3
15,-1434,3
16,-3348,2
17,-841,2
18,-3847,2
19,-2845,2
20,-1361,2
21,-5276,2
22,-2904,2
23,-3302,2
24,-4425,2
25,-4261,2
26,-4572,2
27,-3405,2
28,-5631,2
29,-4751,2
30,-4242,2
31,-4241,2
32,-4240,2
33,-4239,2
34,-5709,2
35,-1148,2
36,-5284,2
37,-3816,2
38,-629,2
39,-324,2
40,-167,2
41,-4764,2
42,-2829,2
43,-4386,2
44,-3385,2
45,-3288,2
46,-651,2
47,-2363,2
48,-4355,2
49,-4354,2
50,-2365,2
51,-3267,2
52,-4547,2
53,-640,2
54,-1215,2
55,-3799,2
56,-4549,2
57,-5700,2
58,-5299,2
59,-2263,2
60,-1038,2
61,-499,2
62,-3821,2
63,-3912,2
64,-3916,2
65,-507,2
66,-4165,2
67,-2403,2
68,-5576,2
69,-4798,2
70,-3920,2
71,-1967,2
72,-3708,2
73,-1631,2
74,-5081,2
75,-2096,2
76,-5403,2
77,-46,2
78,-2846,2
79,-1985,2
80,-5091,2
81,-4003,2
82,-1646,2
83,-3123,2
84,-5523,2
85,-3048,2
86,-2618,2
87,-2617,2
88,-5187,2
89,-539,2
90,-4125,2
91,-4683,2
92,-3088,2
93,-1140,2
94,-2480,2
95,-2061,2
96,-2160,2
97,-4204,2
98,-3492,2
99,-4076,2
100,-4498,2
101,-4694,2
102,-3712,2
103,-3164,2
104,-2147,2
105,-350,2
106,-2743,2
107,-536,2
108,-435,2
109,-4188,2
110,-1180,2
111,-80,2
112,-5401,1
113,-3366,1
114,-3381,1
115,-1306,1
116,-5409,1
117,-5410,1
118,-1330,1
119,-5424,1
120,-1324,1
121,-4392,1
122,-5412,1
123,-1320,1
124,-3382,1
125,-2697,1
126,-5680,1
127,-5493,1
128,-1400,1
129,-1402,1
130,-1407,1
131,-3461,1
132,-3462,1
133,-1416,1
134,-1417,1
135,-2722,1
136,-1422,1
137,-5520,1
138,-3474,1
139,-5524,1
140,-5525,1
141,-1430,1
142,-5527,1
143,-3447,1
144,-5491,1
145,-3384,1
146,-1390,1
147,-1338,1
148,-1341,1
149,-3391,1
150,-1346,1
151,-1351,1
152,-5448,1
153,-5449,1
154,-5450,1
155,-1358,1
156,-3413,1
157,-3414,1
158,-1318,1
159,-5469,1
160,-1388,1
161,-1389,1
162,-5399,1
163,-1236,1
164,-5395,1
165,-2556,1
166,-5208,1
167,-5216,1
168,-3172,1
169,-3174,1
170,-5225,1
171,-5233,1
172,-5238,1
173,-5239,1
174,-2548,1
175,-5202,1
176,-3200,1
177,-3202,1
178,-5252,1
179,-1157,1
180,-5259,1
181,-3216,1
182,-5268,1
183,-5271,1
184,-144,1
185,-3147,1
186,-5393,1
187,-5170,1
188,-3090,1
189,-3099,1
190,-4818,1
191,-5149,1
192,-5150,1
193,-1063,1
194,-5161,1
195,-1072,1
196,-3126,1
197,-1098,1
198,-5177,1
199,-1083,1
200,-3136,1
201,-3137,1
202,-1090,1
203,-1091,1
204,-5190,1
205,-1095,1
206,-5278,1
207,-1183,1
208,-3233,1
209,-3316,1
210,-5338,1
211,-5345,1
212,-93,1
213,-5351,1
214,-5352,1
215,-1258,1
216,-4408,1
217,-1264,1
218,-3320,1
219,-3235,1
220,-3326,1
221,-1279,1
222,-3328,1
223,-5377,1
224,-3595,1
225,-3333,1
226,-1286,1
227,-5383,1
228,-5335,1
229,-2248,1
230,-5330,1
231,-1233,1
232,-5287,1
233,-4971,1
234,-1195,1
235,-5293,1
236,-1198,1
237,-3252,1
238,-5302,1
239,-1213,1
240,-1214,1
241,-5313,1
242,-3266,1
243,-1221,1
244,-5319,1
245,-3272,1
246,-5324,1
247,-3279,1
248,-1232,1
249,-3480,1
250,-5610,1
251,-1435,1
252,-1365,1
253,-3811,1
254,-3812,1
255,-3818,1
256,-4584,1
257,-3824,1
258,-1777,1
259,-3827,1
260,-688,1
261,-3846,1
262,-3853,1
263,-1852,1
264,-1074,1
265,-1809,1
266,-3066,1
267,-1818,1
268,-3876,1
269,-3878,1
270,-1633,1
271,-1835,1
272,-2237,1
273,-3810,1
274,-1761,1
275,-1760,1
276,-3803,1
277,-1039,1
278,-5798,1
279,-5799,1
280,-5804,1
281,-1712,1
282,-5812,1
283,-2306,1
284,-1719,1
285,-3768,1
286,-3773,1
287,-3774,1
288,-3780,1
289,-5829,1
290,-3783,1
291,-5832,1
292,-3786,1
293,-1742,1
294,-1743,1
295,-1748,1
296,-1850,1
297,-3909,1
298,-1439,1
299,-2010,1
300,-3271,1
301,-4644,1
302,-1982,1
303,-1983,1
304,-1725,1
305,-4037,1
306,-1995,1
307,-3914,1
308,-2009,1
309,-2011,1
310,-1862,1
311,-3563,1
312,-4063,1
313,-2016,1
314,-5411,1
315,-4072,1
316,-4079,1
317,-4432,1
318,-2037,1
319,-4087,1
320,-4010,1
321,-4007,1
322,-4005,1
323,-4004,1
324,-3911,1
325,-1866,1
326,-1867,1
327,-1649,1
328,-1313,1
329,-3937,1
330,-3943,1
331,-3944,1
332,-1898,1
333,-136,1
334,-3957,1
335,-1911,1
336,-1197,1
337,-1921,1
338,-1929,1
339,-3994,1
340,-4001,1
341,-4002,1
342,-1955,1
343,-3747,1
344,-5793,1
345,-5791,1
346,-3591,1
347,-3555,1
348,-1510,1
349,-5611,1
350,-5615,1
351,-1004,1
352,-5623,1
353,-5633,1
354,-5634,1
355,-3589,1
356,-3592,1
357,-1689,1
358,-5643,1
359,-5645,1
360,-1563,1
361,-5665,1
362,-5666,1
363,-2449,1
364,-4978,1
365,-5672,1
366,-3625,1
367,-3554,1
368,-5597,1
369,-3545,1
370,-3544,1
371,-5354,1
372,-3495,1
373,-5548,1
374,-1453,1
375,-5551,1
376,-5553,1
377,-5701,1
378,-5659,1
379,-5568,1
380,-5569,1
381,-1272,1
382,-1481,1
383,-5578,1
384,-5579,1
385,-1484,1
386,-3535,1
387,-3537,1
388,-5588,1
389,-5591,1
390,-1584,1
391,-5682,1
392,-5683,1
393,-1637,1
394,-535,1
395,-3691,1
396,-5742,1
397,-1651,1
398,-5748,1
399,-3707,1
400,-1661,1
401,-3710,1
402,-3711,1
403,-1665,1
404,-3716,1
405,-1673,1
406,-3722,1
407,-4603,1
408,-3727,1
409,-807,1
410,-5777,1
411,-5778,1
412,-5779,1
413,-3686,1
414,-5732,1
415,-1591,1
416,-5731,1
417,-5690,1
418,-5693,1
419,-5694,1
420,-1599,1
421,-1601,1
422,-1603,1
423,-1605,1
424,-1606,1
425,-135,1
426,-1612,1
427,-5710,1
428,-3666,1
429,-5715,1
430,-2095,1
431,-5720,1
432,-5722,1
433,-5725,1
434,-3680,1
435,-5729,1
436,-4582,1
437,-933,1
438,-3076,1
439,-363,1
440,-346,1
441,-347,1
442,-348,1
443,-351,1
444,-2402,1
445,-356,1
446,-2405,1
447,-2406,1
448,-2409,1
449,-2414,1
450,-2651,1
451,-2417,1
452,-2419,1
453,-372,1
454,-2424,1
455,-2430,1
456,-4482,1
457,-2295,1
458,-5776,1
459,-2441,1
460,-2393,1
461,-340,1
462,-2385,1
463,-2384,1
464,-286,1
465,-289,1
466,-2344,1
467,-2346,1
468,-4395,1
469,-4396,1
470,-305,1
471,-4403,1
472,-3281,1
473,-313,1
474,-2368,1
475,-2369,1
476,-2370,1
477,-4546,1
478,-320,1
479,-2374,1
480,-774,1
481,-598,1
482,-2381,1
483,-398,1
484,-400,1
485,-281,1
486,-4569,1
487,-4552,1
488,-460,1
489,-462,1
490,-463,1
491,-4562,1
492,-468,1
493,-4565,1
494,-4566,1
495,-2520,1
496,-3621,1
497,-401,1
498,-477,1
499,-2526,1
500,-479,1
501,-481,1
502,-4578,1
503,-3634,1
504,-2532,1
505,-485,1
506,-486,1
507,-4551,1
508,-454,1
509,-4548,1
510,-450,1
511,-4501,1
512,-4502,1
513,-407,1
514,-408,1
515,-4512,1
516,-2552,1
517,-4883,1
518,-424,1
519,-2473,1
520,-2477,1
521,-430,1
522,-4503,1
523,-4529,1
524,-4531,1
525,-4534,1
526,-441,1
527,-4538,1
528,-446,1
529,-4543,1
530,-285,1
531,-2320,1
532,-488,1
533,-4144,1
534,-2109,1
535,-63,1
536,-65,1
537,-4163,1
538,-4164,1
539,-2120,1
540,-2126,1
541,-2127,1
542,-4182,1
543,-2142,1
544,-4221,1
545,-4192,1
546,-2148,1
547,-4197,1
548,-4198,1
549,-4200,1
550,-4202,1
551,-2162,1
552,-4216,1
553,-2169,1
554,-2105,1
555,-4150,1
556,-2101,1
557,-4143,1
558,-4104,1
559,-10,1
560,-2062,1
561,-2063,1
562,-2066,1
563,-20,1
564,-4117,1
565,-4118,1
566,-4418,1
567,-2079,1
568,-2080,1
569,-4129,1
570,-2083,1
571,-36,1
572,-4133,1
573,-4134,1
574,-41,1
575,-4138,1
576,-45,1
577,-4219,1
578,-4222,1
579,-2303,1
580,-229,1
581,-196,1
582,-4294,1
583,-200,1
584,-201,1
585,-2253,1
586,-210,1
587,-4307,1
588,-4309,1
589,-2267,1
590,-4328,1
591,-2177,1
592,-2282,1
593,-4336,1
594,-242,1
595,-2292,1
596,-247,1
597,-4345,1
598,-250,1
599,-4348,1
600,-253,1
601,-192,1
602,-190,1
603,-189,1
604,-2234,1
605,-2180,1
606,-2182,1
607,-4844,1
608,-4232,1
609,-2185,1
610,-5008,1
611,-2189,1
612,-4247,1
613,-4878,1
614,-4251,1
615,-4253,1
616,-163,1
617,-166,1
618,-4834,1
619,-4272,1
620,-4273,1
621,-178,1
622,-2227,1
