,0
799,0
800,0
801,2
802,0
803,1
804,0
805,2
806,1
807,1
808,0
809,0
810,1
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,4
822,1
823,3
824,2
825,3
826,3
827,0
828,0
829,2
830,1
831,0
832,0
833,3
834,0
835,0
836,0
837,2
838,1
839,3
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,2
848,0
849,0
850,0
851,2
852,0
853,0
854,0
855,0
856,0
857,0
858,3
859,1
860,0
861,2
862,0
863,2
864,0
865,1
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,2
879,0
880,2
881,0
882,0
883,0
884,1
885,1
886,1
887,0
888,3
889,2
890,0
891,1
892,1
893,2
894,0
895,1
896,0
897,2
898,2
899,0
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,1
916,2
917,0
918,1
919,3
920,0
921,0
922,0
923,0
924,0
925,0
926,2
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,1
938,0
939,0
940,0
941,1
942,0
943,0
944,0
945,1
946,1
947,0
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,0
961,2
962,4
963,3
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,0
972,2
973,3
974,0
975,0
976,0
977,1
978,1
979,2
980,1
981,2
982,0
983,0
984,0
985,1
986,0
987,1
988,4
989,4
990,1
991,1
992,2
993,0
994,0
995,2
996,2
997,2
998,0
999,0
1000,2
1001,2
1002,6
1003,2
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,3
1011,4
1012,6
1013,1
1014,0
1015,0
1016,3
1017,4
1018,1
1019,0
1020,0
1021,0
1022,0
1023,3
1024,4
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,3
1032,0
1033,0
1034,0
1035,3
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,1
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,2
1059,3
1060,1
1061,1
1062,3
1063,0
1064,1
1065,1
1066,2
1067,1
1068,6
1069,2
1070,4
1071,4
1072,5
1073,1
1074,4
1075,2
1076,0
1077,1
